Task_ID,Title,Description,Assignee,Created_Date,Due_Date,Completed_Date,Status,Priority,Estimated_Hours,Actual_Hours,Project,Labels/Tags,Task_Complexity,Predicted_Priority,Delay_Risk_Score,Completion_Probability,AI_Recommendation
925,Model Training,Data Analysis task for Automation Bot project.,Ethan,11/05/2024,29/05/2024,29/05/2024,Completed,Medium,12,17,Smart Workflow,AI,High,Medium,0.5,0.5,Maintain current workflow efficiency
926,User Feedback Integration,UI Design task for AI Task Manager project.,Diana,11/04/2024,28/04/2024,,On Hold,High,13,13,AI Task Manager,NLP,Low,Critical,0.16,0.84,Reassign to experienced member
927,Bug Fix,User Feedback Integration task for Automation Bot project.,George,04/09/2024,17/09/2024,17/09/2024,Completed,Low,5,9,Smart Workflow,database,Medium,Medium,0.97,0.03,Maintain current workflow efficiency
928,UI Design,Backend API task for Automation Bot project.,Charlie,09/05/2024,17/05/2024,,On Hold,Low,9,10,AI Task Manager,backend,High,Low,0.43,0.57,Review task dependencies
929,UI Design,User Feedback Integration task for Productivity Suite project.,Hannah,05/09/2024,24/09/2024,24/09/2024,Completed,Critical,10,10,Productivity Suite,frontend,High,Critical,0.3,0.7,Increase resources for faster completion
930,Bug Fix,Backend API task for Automation Bot project.,Bob,07/12/2024,16/12/2024,16/12/2024,Completed,High,19,23,Data Analytics,testing,Medium,Low,0.7,0.3,Maintain current workflow efficiency
931,Model Training,User Feedback Integration task for Smart Workflow project.,George,25/02/2024,07/03/2024,07/03/2024,Completed,High,18,21,Productivity Suite,ML,Medium,Low,0.38,0.62,Increase resources for faster completion
932,Backend API,Documentation task for Smart Workflow project.,Alice,26/12/2024,12/01/2025,,To Do,High,18,20,Automation Bot,AI,Low,Low,0.96,0.04,Automate repetitive sub-tasks
933,Data Analysis,Backend API task for Automation Bot project.,George,28/01/2024,14/02/2024,,Completed,Low,16,15,Automation Bot,testing,Medium,Medium,0.35,0.65,Increase resources for faster completion
934,Bug Fix,Model Training task for Data Analytics project.,Alice,21/08/2024,01/09/2024,,In Progress,High,18,19,AI Task Manager,testing,Medium,Low,0.18,0.82,Review task dependencies
935,User Feedback Integration,UI Design task for AI Task Manager project.,Fiona,14/02/2024,06/03/2024,06/03/2024,Completed,Critical,17,20,Data Analytics,backend,Low,Medium,0.21,0.79,Maintain current workflow efficiency
936,User Feedback Integration,Data Analysis task for Productivity Suite project.,Fiona,22/10/2024,30/10/2024,30/10/2024,Completed,Medium,3,7,Smart Workflow,frontend,Medium,Low,0.58,0.42,Maintain current workflow efficiency
937,Bug Fix,Data Analysis task for Data Analytics project.,Diana,19/01/2024,31/01/2024,31/01/2024,Completed,High,10,10,Data Analytics,database,Medium,Medium,0.65,0.35,Reassign to experienced member
938,Documentation,Backend API task for Smart Workflow project.,Bob,25/01/2024,16/02/2024,16/02/2024,Completed,Critical,19,18,Automation Bot,NLP,High,Low,0.47,0.53,Automate repetitive sub-tasks
939,Model Training,UI Design task for Smart Workflow project.,Diana,18/06/2024,07/07/2024,,In Progress,Medium,17,15,Smart Workflow,NLP,High,High,0.17,0.83,Review task dependencies
940,Documentation,Testing task for Data Analytics project.,Diana,12/07/2024,24/07/2024,24/07/2024,Completed,Low,2,6,AI Task Manager,testing,Low,High,0.11,0.89,Increase resources for faster completion
941,Bug Fix,Testing task for Smart Workflow project.,Alice,25/05/2024,14/06/2024,14/06/2024,Completed,Critical,7,5,Smart Workflow,testing,Low,Low,0.9,0.1,Increase resources for faster completion
942,Bug Fix,Model Training task for Smart Workflow project.,Bob,24/04/2024,28/04/2024,,Completed,Low,20,18,Smart Workflow,AI,High,Low,0.87,0.13,Automate repetitive sub-tasks
943,Model Training,Documentation task for Data Analytics project.,Diana,07/05/2024,10/05/2024,10/05/2024,Completed,Low,20,19,Smart Workflow,backend,Low,Critical,0.14,0.86,Automate repetitive sub-tasks
944,User Feedback Integration,Documentation task for AI Task Manager project.,Diana,17/04/2024,24/04/2024,,In Progress,Critical,14,14,AI Task Manager,ML,High,Medium,0.83,0.17,Increase resources for faster completion
945,Testing,Backend API task for Smart Workflow project.,Hannah,24/09/2024,14/10/2024,,On Hold,Low,15,13,AI Task Manager,frontend,Medium,Critical,0.19,0.81,Reassign to experienced member
946,User Feedback Integration,Data Analysis task for Automation Bot project.,Diana,09/04/2024,01/05/2024,01/05/2024,Completed,High,18,22,Productivity Suite,NLP,Low,Critical,0.34,0.66,Maintain current workflow efficiency
947,Bug Fix,Testing task for Productivity Suite project.,Charlie,02/11/2024,24/11/2024,24/11/2024,Completed,Medium,5,5,Automation Bot,database,Medium,Critical,0.64,0.36,Increase resources for faster completion
948,Documentation,Backend API task for Smart Workflow project.,Ethan,11/01/2024,19/01/2024,19/01/2024,Completed,Critical,20,23,Productivity Suite,frontend,Medium,High,0.96,0.04,Increase resources for faster completion
949,Data Analysis,Testing task for Smart Workflow project.,Fiona,03/02/2024,17/02/2024,17/02/2024,Completed,Low,16,15,Productivity Suite,AI,Low,Medium,0.35,0.65,Increase resources for faster completion
950,Model Training,Documentation task for Productivity Suite project.,Alice,02/06/2024,08/06/2024,08/06/2024,Completed,High,6,7,Smart Workflow,AI,Medium,Medium,0.36,0.64,Review task dependencies
951,UI Design,Documentation task for Data Analytics project.,Alice,20/08/2024,05/09/2024,05/09/2024,Completed,Medium,11,11,AI Task Manager,testing,High,Medium,0.66,0.34,Automate repetitive sub-tasks
952,User Feedback Integration,Testing task for Productivity Suite project.,Diana,12/10/2024,21/10/2024,21/10/2024,Completed,Critical,18,20,Productivity Suite,testing,Medium,Critical,0.62,0.38,Review task dependencies
953,Bug Fix,Model Training task for Smart Workflow project.,Charlie,20/05/2024,26/05/2024,26/05/2024,Completed,Medium,9,14,Automation Bot,frontend,Low,High,0.12,0.88,Review task dependencies
954,Model Training,Model Training task for Smart Workflow project.,Charlie,15/08/2024,02/09/2024,,In Progress,Low,8,6,Data Analytics,backend,Medium,Low,0.16,0.84,Maintain current workflow efficiency
955,Testing,Backend API task for Automation Bot project.,Hannah,16/10/2024,19/10/2024,19/10/2024,Completed,Low,19,21,Data Analytics,integration,Low,Low,0.43,0.57,Maintain current workflow efficiency
956,Bug Fix,Model Training task for Data Analytics project.,Charlie,18/01/2024,02/02/2024,02/02/2024,Completed,High,11,11,Automation Bot,testing,Medium,High,0.24,0.76,Review task dependencies
957,Bug Fix,Data Analysis task for Data Analytics project.,George,04/11/2024,27/11/2024,27/11/2024,Completed,Low,15,15,Automation Bot,integration,Low,High,0.03,0.97,Maintain current workflow efficiency
958,Model Training,Data Analysis task for Data Analytics project.,Bob,23/03/2024,03/04/2024,03/04/2024,Completed,Medium,18,22,Data Analytics,ML,Medium,Medium,0.17,0.83,Maintain current workflow efficiency
959,Documentation,Testing task for Smart Workflow project.,Charlie,27/06/2024,05/07/2024,05/07/2024,Completed,Low,19,23,Smart Workflow,database,High,Medium,0.32,0.68,Automate repetitive sub-tasks
960,UI Design,Data Analysis task for Data Analytics project.,Bob,06/01/2024,27/01/2024,27/01/2024,Completed,Medium,2,1,Productivity Suite,AI,Low,High,0.28,0.72,Increase resources for faster completion
961,Model Training,User Feedback Integration task for Automation Bot project.,Ethan,22/10/2024,04/11/2024,,Completed,Medium,18,23,Automation Bot,AI,Medium,Critical,0.98,0.02,Automate repetitive sub-tasks
962,Testing,Documentation task for Automation Bot project.,Alice,14/06/2024,22/06/2024,22/06/2024,Completed,Low,18,17,Productivity Suite,NLP,High,Medium,0.7,0.3,Maintain current workflow efficiency
963,Documentation,Model Training task for Productivity Suite project.,Fiona,27/02/2024,18/03/2024,18/03/2024,Completed,Low,5,10,Productivity Suite,frontend,Medium,High,0.82,0.18,Maintain current workflow efficiency
964,Data Analysis,UI Design task for Productivity Suite project.,Ethan,26/06/2024,21/07/2024,21/07/2024,Completed,Medium,11,13,Automation Bot,NLP,Medium,High,0.85,0.15,Automate repetitive sub-tasks
965,Bug Fix,User Feedback Integration task for Data Analytics project.,Alice,13/06/2024,25/06/2024,,Completed,Low,4,2,Smart Workflow,frontend,High,Medium,0.03,0.97,Reassign to experienced member
966,User Feedback Integration,Documentation task for Data Analytics project.,Alice,19/04/2024,14/05/2024,14/05/2024,Completed,Critical,18,23,AI Task Manager,ML,Medium,Critical,0.73,0.27,Automate repetitive sub-tasks
967,Backend API,Model Training task for Automation Bot project.,Diana,01/04/2024,21/04/2024,,Completed,Critical,17,22,Productivity Suite,database,High,Medium,0.26,0.74,Maintain current workflow efficiency
968,Bug Fix,User Feedback Integration task for Smart Workflow project.,George,01/03/2024,26/03/2024,,Completed,Critical,10,12,Automation Bot,integration,Medium,Low,0.73,0.27,Review task dependencies
969,Backend API,Data Analysis task for Smart Workflow project.,Ethan,15/01/2024,01/02/2024,01/02/2024,Completed,Low,3,1,AI Task Manager,backend,High,Low,0.78,0.22,Reassign to experienced member
970,Model Training,Model Training task for Automation Bot project.,Bob,06/08/2024,26/08/2024,26/08/2024,Completed,High,6,6,Automation Bot,database,Low,Low,0.02,0.98,Reassign to experienced member
971,UI Design,Backend API task for Smart Workflow project.,Diana,24/03/2024,29/03/2024,29/03/2024,Completed,Critical,20,24,Smart Workflow,backend,Low,High,0.45,0.55,Automate repetitive sub-tasks
972,User Feedback Integration,User Feedback Integration task for Data Analytics project.,Ethan,06/02/2024,27/02/2024,,In Progress,Low,20,22,Smart Workflow,ML,Medium,High,0.9,0.1,Increase resources for faster completion
973,Data Analysis,Documentation task for Automation Bot project.,George,15/05/2024,21/05/2024,21/05/2024,Completed,Critical,16,19,Productivity Suite,AI,Medium,High,0.43,0.57,Maintain current workflow efficiency
974,UI Design,Backend API task for AI Task Manager project.,Bob,22/06/2024,03/07/2024,03/07/2024,Completed,High,11,9,Automation Bot,database,Low,Critical,0.69,0.31,Reassign to experienced member
975,Testing,Testing task for AI Task Manager project.,George,07/12/2024,31/12/2024,31/12/2024,Completed,Critical,3,8,Data Analytics,database,High,Low,0.5,0.5,Automate repetitive sub-tasks
976,Testing,Backend API task for Smart Workflow project.,George,21/07/2024,13/08/2024,13/08/2024,Completed,Critical,6,8,AI Task Manager,database,Medium,Medium,0.16,0.84,Maintain current workflow efficiency
977,User Feedback Integration,Model Training task for AI Task Manager project.,Bob,06/09/2024,09/09/2024,09/09/2024,Completed,Medium,19,24,AI Task Manager,integration,Medium,Critical,0.11,0.89,Automate repetitive sub-tasks
978,Backend API,Data Analysis task for AI Task Manager project.,Ethan,26/07/2024,19/08/2024,19/08/2024,Completed,Low,20,21,Automation Bot,AI,Low,Low,0.31,0.69,Maintain current workflow efficiency
979,Documentation,User Feedback Integration task for Automation Bot project.,Ethan,27/01/2024,21/02/2024,,To Do,Critical,3,8,Automation Bot,testing,Low,High,0.61,0.39,Increase resources for faster completion
980,UI Design,Backend API task for AI Task Manager project.,Diana,25/11/2024,08/12/2024,08/12/2024,Completed,Medium,19,21,Productivity Suite,testing,High,High,0.73,0.27,Review task dependencies
981,Data Analysis,Model Training task for Smart Workflow project.,Alice,23/06/2024,10/07/2024,,On Hold,Medium,2,7,Data Analytics,frontend,High,Low,0.69,0.31,Review task dependencies
982,Testing,UI Design task for Smart Workflow project.,Hannah,01/09/2024,11/09/2024,11/09/2024,Completed,Low,8,9,Productivity Suite,frontend,High,High,0.77,0.23,Increase resources for faster completion
983,Bug Fix,UI Design task for Data Analytics project.,Hannah,10/05/2024,22/05/2024,22/05/2024,Completed,Critical,8,6,AI Task Manager,backend,Low,Low,1,0,Automate repetitive sub-tasks
984,UI Design,Model Training task for AI Task Manager project.,Diana,24/09/2024,05/10/2024,,On Hold,Medium,17,16,AI Task Manager,AI,Medium,Low,0.36,0.64,Reassign to experienced member
985,Data Analysis,User Feedback Integration task for Productivity Suite project.,Diana,19/05/2024,25/05/2024,,Completed,Low,10,10,Productivity Suite,testing,Low,Low,0.62,0.38,Reassign to experienced member
986,Documentation,User Feedback Integration task for Productivity Suite project.,Alice,13/10/2024,01/11/2024,01/11/2024,Completed,Medium,11,12,Productivity Suite,frontend,Low,Medium,0.25,0.75,Review task dependencies
987,Bug Fix,Model Training task for Smart Workflow project.,Fiona,28/08/2024,04/09/2024,04/09/2024,Completed,High,18,17,Productivity Suite,testing,High,Critical,0.5,0.5,Automate repetitive sub-tasks
988,UI Design,Testing task for Data Analytics project.,George,13/09/2024,17/09/2024,,Completed,Low,11,11,AI Task Manager,integration,High,High,0.17,0.83,Review task dependencies
989,Bug Fix,User Feedback Integration task for Productivity Suite project.,Bob,01/03/2024,15/03/2024,,To Do,High,19,21,Data Analytics,database,Low,Critical,0.29,0.71,Increase resources for faster completion
990,Testing,UI Design task for Automation Bot project.,Alice,14/12/2024,05/01/2025,05/01/2025,Completed,Critical,5,3,Productivity Suite,database,High,Critical,0.35,0.65,Reassign to experienced member
991,Data Analysis,Model Training task for Automation Bot project.,Diana,20/05/2024,27/05/2024,27/05/2024,Completed,Medium,16,15,AI Task Manager,testing,High,Medium,0.1,0.9,Review task dependencies
992,UI Design,Bug Fix task for Productivity Suite project.,Alice,20/02/2024,10/03/2024,,On Hold,Medium,7,5,Productivity Suite,frontend,High,Critical,0.29,0.71,Reassign to experienced member
993,Model Training,Data Analysis task for Productivity Suite project.,Ethan,03/12/2024,24/12/2024,24/12/2024,Completed,Low,6,9,Data Analytics,testing,High,Critical,0.41,0.59,Maintain current workflow efficiency
994,Bug Fix,Documentation task for Automation Bot project.,Diana,02/06/2024,15/06/2024,15/06/2024,Completed,Medium,17,16,AI Task Manager,integration,Low,Critical,0.39,0.61,Reassign to experienced member
995,User Feedback Integration,Data Analysis task for AI Task Manager project.,Alice,23/02/2024,16/03/2024,16/03/2024,Completed,High,2,3,Data Analytics,AI,Medium,High,0.64,0.36,Reassign to experienced member
996,Model Training,Model Training task for AI Task Manager project.,Hannah,26/03/2024,18/04/2024,18/04/2024,Completed,Medium,15,18,Automation Bot,ML,Low,Low,0.4,0.6,Reassign to experienced member
997,User Feedback Integration,User Feedback Integration task for Smart Workflow project.,Diana,06/09/2024,10/09/2024,10/09/2024,Completed,High,2,6,AI Task Manager,ML,Medium,High,0.62,0.38,Maintain current workflow efficiency
998,Model Training,Documentation task for Smart Workflow project.,Diana,28/12/2024,12/01/2025,,In Progress,Critical,20,24,Automation Bot,ML,Medium,Critical,0.17,0.83,Reassign to experienced member
999,Data Analysis,Model Training task for Automation Bot project.,Ethan,13/07/2024,20/07/2024,20/07/2024,Completed,Low,5,9,Automation Bot,integration,Medium,Critical,0.35,0.65,Reassign to experienced member
1000,User Feedback Integration,Backend API task for Productivity Suite project.,Fiona,10/09/2024,28/09/2024,,Completed,Medium,10,11,AI Task Manager,NLP,Medium,Medium,0.41,0.59,Increase resources for faster completion
1001,Model Training,Testing task for Productivity Suite project.,Alice,16/12/2024,01/01/2025,01/01/2025,Completed,Low,10,10,AI Task Manager,ML,Low,Medium,0.67,0.33,Maintain current workflow efficiency
1002,User Feedback Integration,Model Training task for Automation Bot project.,Ethan,24/11/2024,28/11/2024,28/11/2024,Completed,High,3,8,Smart Workflow,frontend,Medium,Critical,0.17,0.83,Reassign to experienced member
1003,UI Design,Backend API task for Automation Bot project.,Hannah,11/05/2024,14/05/2024,14/05/2024,Completed,High,20,20,AI Task Manager,database,High,Medium,0.7,0.3,Automate repetitive sub-tasks
1004,User Feedback Integration,Data Analysis task for Productivity Suite project.,Alice,07/02/2024,01/03/2024,01/03/2024,Completed,Medium,19,21,Smart Workflow,backend,Low,Critical,0.34,0.66,Increase resources for faster completion
1005,Backend API,Model Training task for Automation Bot project.,Alice,21/09/2024,27/09/2024,27/09/2024,Completed,Low,18,18,Automation Bot,frontend,Medium,Critical,0.99,0.01,Automate repetitive sub-tasks
1006,Backend API,Testing task for Data Analytics project.,Hannah,18/02/2024,27/02/2024,,Completed,Medium,3,6,Productivity Suite,NLP,Medium,Low,0.19,0.81,Automate repetitive sub-tasks
1007,Testing,Bug Fix task for Automation Bot project.,Charlie,05/04/2024,18/04/2024,18/04/2024,Completed,Critical,10,13,Data Analytics,testing,High,Medium,0.96,0.04,Review task dependencies
1008,Data Analysis,Data Analysis task for Data Analytics project.,Diana,12/03/2024,15/03/2024,15/03/2024,Completed,Critical,19,23,Automation Bot,integration,Low,High,0.59,0.41,Review task dependencies
1009,User Feedback Integration,Testing task for AI Task Manager project.,Ethan,28/04/2024,05/05/2024,05/05/2024,Completed,Critical,11,14,Smart Workflow,AI,Low,Low,0.16,0.84,Maintain current workflow efficiency
1010,Documentation,Testing task for Automation Bot project.,Hannah,01/10/2024,16/10/2024,16/10/2024,Completed,Medium,10,12,Automation Bot,ML,Medium,Critical,0.51,0.49,Increase resources for faster completion
1011,Bug Fix,Documentation task for Productivity Suite project.,Fiona,23/02/2024,12/03/2024,12/03/2024,Completed,High,5,4,Smart Workflow,backend,High,High,0.66,0.34,Increase resources for faster completion
1012,Documentation,UI Design task for Productivity Suite project.,Bob,05/06/2024,28/06/2024,28/06/2024,Completed,High,11,14,AI Task Manager,backend,High,Critical,0.92,0.08,Automate repetitive sub-tasks
1013,Model Training,Backend API task for Productivity Suite project.,Charlie,15/10/2024,03/11/2024,03/11/2024,Completed,Critical,19,18,Data Analytics,NLP,High,High,0.24,0.76,Automate repetitive sub-tasks
1014,Model Training,Documentation task for Smart Workflow project.,Hannah,21/11/2024,25/11/2024,25/11/2024,Completed,Low,4,4,Automation Bot,NLP,Medium,Critical,0.23,0.77,Automate repetitive sub-tasks
1015,Backend API,User Feedback Integration task for Smart Workflow project.,Charlie,25/11/2024,19/12/2024,,In Progress,Low,15,13,Smart Workflow,ML,Medium,Low,0.03,0.97,Review task dependencies
1016,User Feedback Integration,Documentation task for Automation Bot project.,Charlie,16/02/2024,24/02/2024,24/02/2024,Completed,Low,18,16,Productivity Suite,frontend,High,Critical,0.77,0.23,Reassign to experienced member
1017,Model Training,Bug Fix task for Productivity Suite project.,Ethan,24/11/2024,16/12/2024,16/12/2024,Completed,High,10,15,Productivity Suite,integration,Medium,High,0.15,0.85,Review task dependencies
1018,Bug Fix,User Feedback Integration task for AI Task Manager project.,Fiona,14/02/2024,25/02/2024,,In Progress,Low,8,11,Productivity Suite,backend,Medium,Low,0.93,0.07,Reassign to experienced member
1019,Bug Fix,Model Training task for Smart Workflow project.,Hannah,25/05/2024,17/06/2024,,On Hold,Critical,18,16,Data Analytics,ML,Low,Critical,0.7,0.3,Reassign to experienced member
1020,Documentation,Documentation task for Automation Bot project.,Diana,13/08/2024,19/08/2024,19/08/2024,Completed,Critical,20,25,Productivity Suite,NLP,High,Medium,0.78,0.22,Review task dependencies
1021,Backend API,Testing task for Automation Bot project.,Fiona,26/11/2024,08/12/2024,08/12/2024,Completed,Critical,2,1,AI Task Manager,database,Medium,Critical,0.96,0.04,Maintain current workflow efficiency
1022,Testing,Data Analysis task for Data Analytics project.,Ethan,17/04/2024,03/05/2024,,To Do,Low,20,18,Automation Bot,backend,Low,High,0.24,0.76,Review task dependencies
1023,Data Analysis,Data Analysis task for Productivity Suite project.,George,22/05/2024,16/06/2024,16/06/2024,Completed,Medium,14,16,Data Analytics,AI,Low,Medium,0.27,0.73,Maintain current workflow efficiency
1024,Documentation,Data Analysis task for Smart Workflow project.,Charlie,08/03/2024,18/03/2024,,Completed,Medium,16,17,Smart Workflow,backend,High,Critical,0.07,0.93,Increase resources for faster completion
1025,Backend API,Documentation task for Data Analytics project.,Charlie,11/02/2024,22/02/2024,22/02/2024,Completed,Low,9,8,Automation Bot,backend,Medium,High,0.88,0.12,Maintain current workflow efficiency
1026,Testing,Bug Fix task for Productivity Suite project.,Diana,04/01/2024,22/01/2024,,On Hold,High,4,4,Smart Workflow,ML,Low,Low,0.29,0.71,Review task dependencies
1027,UI Design,User Feedback Integration task for Smart Workflow project.,Charlie,01/01/2024,14/01/2024,14/01/2024,Completed,High,11,10,Smart Workflow,backend,Medium,Critical,0.02,0.98,Reassign to experienced member
1028,Bug Fix,User Feedback Integration task for AI Task Manager project.,Fiona,14/07/2024,04/08/2024,04/08/2024,Completed,High,16,21,Data Analytics,AI,High,Critical,0.88,0.12,Increase resources for faster completion
1029,Bug Fix,UI Design task for Smart Workflow project.,Diana,17/05/2024,26/05/2024,26/05/2024,Completed,Medium,14,15,AI Task Manager,testing,High,Low,0.12,0.88,Review task dependencies
1030,Bug Fix,UI Design task for Automation Bot project.,Charlie,13/07/2024,05/08/2024,05/08/2024,Completed,High,2,6,Automation Bot,integration,High,Critical,0.53,0.47,Reassign to experienced member
1031,Bug Fix,User Feedback Integration task for Automation Bot project.,Charlie,22/03/2024,07/04/2024,,In Progress,High,5,10,Automation Bot,database,Medium,High,0.39,0.61,Increase resources for faster completion
1032,User Feedback Integration,Testing task for Automation Bot project.,Bob,21/10/2024,26/10/2024,,On Hold,Critical,15,19,Productivity Suite,ML,Medium,Critical,0.66,0.34,Increase resources for faster completion
1033,Model Training,Bug Fix task for Smart Workflow project.,Alice,16/03/2024,20/03/2024,,On Hold,Low,11,16,AI Task Manager,testing,Low,Low,0.54,0.46,Reassign to experienced member
1034,Documentation,Backend API task for Smart Workflow project.,Diana,22/04/2024,02/05/2024,02/05/2024,Completed,Medium,2,5,Productivity Suite,NLP,High,Medium,0.56,0.44,Increase resources for faster completion
1035,Backend API,User Feedback Integration task for AI Task Manager project.,Alice,24/10/2024,05/11/2024,,To Do,Low,11,16,Automation Bot,NLP,Low,High,0.84,0.16,Review task dependencies
1036,Bug Fix,Bug Fix task for Data Analytics project.,Ethan,13/05/2024,30/05/2024,,To Do,Medium,17,15,Smart Workflow,frontend,Low,Low,0.82,0.18,Maintain current workflow efficiency
1037,Model Training,UI Design task for Productivity Suite project.,George,27/06/2024,20/07/2024,20/07/2024,Completed,Critical,8,12,Automation Bot,NLP,Low,Critical,0.15,0.85,Review task dependencies
1038,Model Training,Backend API task for AI Task Manager project.,Fiona,09/11/2024,21/11/2024,21/11/2024,Completed,High,19,24,Smart Workflow,NLP,Medium,Medium,0.66,0.34,Review task dependencies
1039,User Feedback Integration,User Feedback Integration task for Productivity Suite project.,Alice,11/01/2024,26/01/2024,26/01/2024,Completed,Medium,4,7,Productivity Suite,ML,Medium,Critical,0.66,0.34,Increase resources for faster completion
1040,Testing,Testing task for Automation Bot project.,Ethan,21/02/2024,01/03/2024,01/03/2024,Completed,Low,15,14,Data Analytics,backend,Medium,Low,0.14,0.86,Increase resources for faster completion
1041,UI Design,Backend API task for Smart Workflow project.,Diana,22/11/2024,13/12/2024,,To Do,Critical,7,12,Automation Bot,frontend,Medium,Low,0.54,0.46,Maintain current workflow efficiency
1042,Testing,User Feedback Integration task for Productivity Suite project.,Ethan,07/03/2024,18/03/2024,18/03/2024,Completed,Low,17,17,Productivity Suite,testing,High,Medium,0.21,0.79,Maintain current workflow efficiency
1043,UI Design,Bug Fix task for Automation Bot project.,Charlie,04/10/2024,29/10/2024,29/10/2024,Completed,Medium,10,10,AI Task Manager,ML,Medium,Critical,0.76,0.24,Automate repetitive sub-tasks
1044,Model Training,Bug Fix task for AI Task Manager project.,Charlie,16/11/2024,25/11/2024,25/11/2024,Completed,High,4,5,AI Task Manager,database,High,High,0.91,0.09,Review task dependencies
1045,Testing,User Feedback Integration task for Data Analytics project.,Bob,18/05/2024,26/05/2024,26/05/2024,Completed,High,14,14,Smart Workflow,testing,High,Low,0.43,0.57,Reassign to experienced member
1046,Bug Fix,Bug Fix task for Productivity Suite project.,Diana,03/08/2024,09/08/2024,09/08/2024,Completed,Low,13,11,AI Task Manager,ML,High,Critical,0.73,0.27,Review task dependencies
1047,Testing,Bug Fix task for Productivity Suite project.,Charlie,13/11/2024,02/12/2024,,On Hold,High,20,19,Productivity Suite,frontend,High,Critical,0.95,0.05,Reassign to experienced member
1048,Data Analysis,UI Design task for Automation Bot project.,Charlie,13/04/2024,28/04/2024,,Completed,Critical,2,2,Data Analytics,frontend,High,Low,0.39,0.61,Increase resources for faster completion
1049,Model Training,Bug Fix task for Automation Bot project.,George,28/06/2024,19/07/2024,19/07/2024,Completed,Medium,18,17,Smart Workflow,backend,Low,High,0.42,0.58,Reassign to experienced member
1050,Testing,Model Training task for Smart Workflow project.,Alice,11/12/2024,29/12/2024,29/12/2024,Completed,Low,19,19,Smart Workflow,testing,Medium,Low,0.51,0.49,Review task dependencies
1051,User Feedback Integration,Model Training task for Automation Bot project.,Alice,12/04/2024,27/04/2024,27/04/2024,Completed,High,14,17,AI Task Manager,ML,High,Low,0.33,0.67,Automate repetitive sub-tasks
1052,Backend API,Backend API task for Smart Workflow project.,Diana,14/07/2024,01/08/2024,,In Progress,Low,3,7,Data Analytics,backend,Medium,Critical,0.24,0.76,Automate repetitive sub-tasks
1053,Documentation,Data Analysis task for Smart Workflow project.,Charlie,02/08/2024,18/08/2024,18/08/2024,Completed,Medium,9,8,Automation Bot,backend,High,Medium,0.51,0.49,Increase resources for faster completion
1054,UI Design,Testing task for Smart Workflow project.,George,07/02/2024,03/03/2024,03/03/2024,Completed,Medium,18,16,Automation Bot,NLP,High,High,0.68,0.32,Automate repetitive sub-tasks
1055,Model Training,Documentation task for Data Analytics project.,Diana,07/11/2024,16/11/2024,16/11/2024,Completed,Medium,12,13,AI Task Manager,frontend,Medium,Medium,0.51,0.49,Increase resources for faster completion
1056,Testing,Data Analysis task for AI Task Manager project.,George,25/02/2024,21/03/2024,21/03/2024,Completed,High,10,15,Automation Bot,ML,High,High,0.04,0.96,Maintain current workflow efficiency
1057,User Feedback Integration,Data Analysis task for AI Task Manager project.,Hannah,01/05/2024,10/05/2024,,On Hold,Critical,14,12,Data Analytics,ML,Medium,Low,0.84,0.16,Maintain current workflow efficiency
1058,Data Analysis,Data Analysis task for Automation Bot project.,Bob,01/11/2024,26/11/2024,,In Progress,Low,17,18,Productivity Suite,testing,Low,Low,0.09,0.91,Increase resources for faster completion
1059,User Feedback Integration,Documentation task for Smart Workflow project.,Hannah,27/01/2024,16/02/2024,,To Do,Medium,5,8,Smart Workflow,frontend,High,Low,0.34,0.66,Review task dependencies
1060,Data Analysis,User Feedback Integration task for Productivity Suite project.,Hannah,15/08/2024,28/08/2024,28/08/2024,Completed,Low,11,9,Data Analytics,database,High,Low,0.1,0.9,Automate repetitive sub-tasks
1061,Documentation,Testing task for Smart Workflow project.,Fiona,04/02/2024,10/02/2024,10/02/2024,Completed,High,2,1,Data Analytics,backend,High,Low,0.54,0.46,Reassign to experienced member
1062,Bug Fix,Testing task for AI Task Manager project.,Diana,12/01/2024,25/01/2024,,To Do,Medium,6,4,Data Analytics,ML,High,High,0.12,0.88,Automate repetitive sub-tasks
1063,Bug Fix,Testing task for Automation Bot project.,Hannah,25/03/2024,13/04/2024,13/04/2024,Completed,Low,11,13,Automation Bot,integration,High,High,0.53,0.47,Review task dependencies
1064,Data Analysis,User Feedback Integration task for Automation Bot project.,George,24/07/2024,06/08/2024,06/08/2024,Completed,Critical,18,16,Data Analytics,integration,High,Medium,0.34,0.66,Maintain current workflow efficiency
1065,Backend API,Bug Fix task for Automation Bot project.,Ethan,21/10/2024,09/11/2024,09/11/2024,Completed,Medium,13,13,Automation Bot,frontend,Low,High,0.84,0.16,Increase resources for faster completion
1066,UI Design,Model Training task for Data Analytics project.,Bob,22/03/2024,08/04/2024,08/04/2024,Completed,Medium,6,9,Data Analytics,frontend,High,Medium,0.9,0.1,Reassign to experienced member
1067,Data Analysis,User Feedback Integration task for Automation Bot project.,Ethan,13/04/2024,25/04/2024,25/04/2024,Completed,High,13,14,Productivity Suite,database,Low,Low,0.66,0.34,Reassign to experienced member
1068,Backend API,Data Analysis task for Data Analytics project.,Diana,18/02/2024,28/02/2024,28/02/2024,Completed,Medium,7,12,Data Analytics,integration,Low,Critical,0.97,0.03,Increase resources for faster completion
